example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/features/comments_spec.rb[1:1]                 | passed | 2.22 seconds    |
./spec/features/comments_spec.rb[1:2:1]               | passed | 3.8 seconds     |
./spec/features/comments_spec.rb[1:2:2]               | passed | 3.09 seconds    |
./spec/features/comments_spec.rb[1:2:3]               | failed | 5.95 seconds    |
./spec/features/comments_spec.rb[1:3:1]               | failed | 4.06 seconds    |
./spec/features/comments_spec.rb[1:3:2]               | failed | 2.2 seconds     |
./spec/features/items_spec.rb[1:1:1]                  | passed | 3.76 seconds    |
./spec/features/items_spec.rb[1:1:2]                  | passed | 6.36 seconds    |
./spec/features/items_spec.rb[1:2:1]                  | passed | 4.2 seconds     |
./spec/features/items_spec.rb[1:2:2]                  | passed | 5.48 seconds    |
./spec/features/items_spec.rb[1:2:3]                  | passed | 4.56 seconds    |
./spec/features/items_spec.rb[1:3:1:1]                | passed | 2.48 seconds    |
./spec/features/items_spec.rb[1:3:1:2]                | passed | 2.26 seconds    |
./spec/features/items_spec.rb[1:3:1:3]                | passed | 2.25 seconds    |
./spec/features/items_spec.rb[1:3:2:1:1]              | passed | 2.11 seconds    |
./spec/features/items_spec.rb[1:3:2:1:2]              | passed | 2.6 seconds     |
./spec/features/items_spec.rb[1:3:2:2:1]              | passed | 4.26 seconds    |
./spec/features/items_spec.rb[1:3:2:2:2]              | passed | 3.8 seconds     |
./spec/features/items_spec.rb[1:3:3:1]                | failed | 10.05 seconds   |
./spec/features/items_spec.rb[1:4:1]                  | passed | 2.68 seconds    |
./spec/features/items_spec.rb[1:4:2]                  | passed | 11.05 seconds   |
./spec/features/todos_spec.rb[1:1:1]                  | passed | 3.52 seconds    |
./spec/features/todos_spec.rb[1:1:2]                  | passed | 3.04 seconds    |
./spec/features/todos_spec.rb[1:2:1]                  | passed | 3.46 seconds    |
./spec/features/todos_spec.rb[1:2:2]                  | passed | 2.55 seconds    |
./spec/features/todos_spec.rb[1:2:3]                  | passed | 4.04 seconds    |
./spec/features/todos_spec.rb[1:3:1]                  | passed | 2.47 seconds    |
./spec/features/todos_spec.rb[1:3:2]                  | passed | 2.51 seconds    |
./spec/features/todos_spec.rb[1:3:3]                  | passed | 2.37 seconds    |
./spec/features/todos_spec.rb[1:4:1]                  | passed | 2.77 seconds    |
./spec/features/todos_spec.rb[1:4:2]                  | passed | 2.67 seconds    |
./spec/features/users/reset_password_spec.rb[1:1]     | passed | 2.81 seconds    |
./spec/features/users/reset_password_spec.rb[1:2:1]   | passed | 2.6 seconds     |
./spec/features/users/reset_password_spec.rb[1:2:2:1] | passed | 2.15 seconds    |
./spec/features/users/reset_password_spec.rb[1:2:2:2] | passed | 2.27 seconds    |
./spec/features/users/reset_password_spec.rb[1:2:2:3] | passed | 2.48 seconds    |
./spec/features/users/sign_in_spec.rb[1:1:1]          | passed | 3.32 seconds    |
./spec/features/users/sign_in_spec.rb[1:1:2]          | passed | 2.4 seconds     |
./spec/features/users/sign_in_spec.rb[1:1:3]          | passed | 2.12 seconds    |
./spec/features/users/sign_in_spec.rb[1:1:4]          | passed | 2.68 seconds    |
./spec/features/users/sign_in_spec.rb[1:1:5]          | passed | 2.63 seconds    |
